Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Approved Gene Symbol	Entrez Gene ID	Phenotypes
chr1	143200001	155100000	1q21		603935	PSORS4		10547	"{Psoriasis susceptibility 4}, 603935 (2)"
chr1	143200001	155100000	1q21		605642	"PTCPRN, PRN1"		79052	"Thyroid carcinoma, papillary, with papillary renal neoplasia, 605642 (2)"
chr1	143200001	155100000	1q21		161900	"RFH1, AORF"		59331	"Nephropathy-hypertension, 161900 (2), Autosomal dominant"
chr1	143200001	165500000	1q21-q23		613145	SLEB14		100322878	"{Systemic lupus erythematosus, susceptibility to, 14}, 613145 (2)"
chr1	143200001	156600000	1q21-q22		182269	SPRR2C	SPRR2C	6702	
chr1	143200001	147500000	1q21.1		614747	UAQTL6		100996935	"[Uric acid concentration, serum, QTL6], 614747 (2)"
chr1	143874743	143883733	1q21	1q21.1	601503	"FCGR1C, CD64"	FCGR1CP	100132417	
chr1	143955287	143973564	1q21.2	1q21.1	616853	FAM72C	FAM72C	554282	
chr1	143972639	144069704	1q21.1	1q21.1	614705	SRGAP2D	SRGAP2D	100996712	
chr1	144372875	144373634	1q21.1	1q21.1	608608	"PPIAL4A, COAS2"	PPIAL4E	730262	
chr1	144421390	144461669	1q21.1	1q21.1	610414	"NBPF15, MGC8902"	NBPF15	284565	
chr1	144887288	145095380	1q21.1	1q21.1	614703	SRGAP2B	SRGAP2B	647135	
chr1	145094296	145112696	1p21	1q21.1	614712	FAM72D	FAM72D	728833	
chr1	145287766	145287839	1p36.1	1q21.1	189880	"TRNAN1, TRN1, TRN"	TRN-GTT2-7	7214	
chr1	145289900	145425603	1q21.1	1q21.1	614007	NBPF20	NBPF20	100288142	
chr1	145607988	145670650	1q21.1	1q21.1	612821	GPR89A	GPR89A	653519	
chr1	145670852	145707400	1q21	1q21.1	603831	PDZK1	PDZK1	5174	
chr1	145719499	145739288	1q21.1	1q21.1	604463	"CD160, BY55"	CD160	11126	
chr1	145738868	145824095	1q21.1	1q21.1	619535	"RNF115, BCA2, RABRING7, ZFP364"	RNF115	27246	
chr1	145824200	145844402	1q21.1	1q21.1	617454	"POLR3C, RPC62, RPC3"	POLR3C	10623	
chr1	145848522	145859081	1q21	1q21.1	605987	PIAS3	PIAS3	10401	
chr1	145891208	145910050	1q21.1	1q21.1	604042	ITGA10	ITGA10	8515	
chr1	145911348	145918717	1q21.1	1q21.1	603867	"PEX11B, PEX14B"	PEX11B	8799	"Peroxisome biogenesis disorder 14B, 614920 (3), Autosomal recessive"
chr1	145921556	145927484	1q12	1q21.1	605313	"RBM8A, RBM8B, TAR, C1DELq21.1, DEL1q21.1"	RBM8A	9939	"Thrombocytopenia-absent radius syndrome, 274000 (3), Autosomal recessive"
chr1	145927627	145978848	1q21.1	1q21.1	617457	"POLR3GL, SOFM"	POLR3GL	84265	"Short stature, oligodontia, dysmorphic facies, and motor delay, 619234 (3), Autosomal recessive"
chr1	145992435	145996579	1q21	1q21.1	606599	"TXNIP, VDUP1"	TXNIP	10628	
chr1	146017470	146021735	1q21	1q21.1	608374	"HJV, HFE2A"	HJV	148738	"Hemochromatosis, type 2A, 602390 (3), Autosomal recessive"
chr1	146064699	146144804	1q21.1	1q21.1	614000	NBPF10	NBPF10	100132406	
chr1	146148865	146229021	1q21.1	1q21.1	618023	NOTCH2NLA	NOTCH2NLA	388677	
chr1	146486332	146822034	1q21.1	1q21.1	610813	"HYDIN2, KIAA1864"	HYDIN2	100288805	
chr1	146938324	146996198	1q21.1	1q21.1	608607	"NBPF12, COAS1, KIAA1245"	NBPF12	149013	
chr1	147155106	147172470	1q21.1	1q21.1	602741	PRKAB2	PRKAB2	5565	
chr1	147172747	147295762	1q21	1q21.1	613039	"CHD1L, ALC1"	CHD1L	9557	
chr1	147184305	147227284	1q21.1	1q21.1	603957	FMO5	FMO5	2330	
chr1	147541501	147626216	1q21	1q21.2	602597	BCL9	BCL9	607	
chr1	147629658	147670524	1q21	1q21.2	611471	"ACP6, LPAP, ACPL1"	ACP6	51205	
chr1	147756199	147773351	1q21.2	1q21.2	121013	"GJA5, CX40, ATFB11"	GJA5	2702	"Atrial fibrillation, familial, 11, 614049 (3), Autosomal dominant; Atrial standstill, digenic (GJA5/SCN5A), 108770 (3), Autosomal dominant"
chr1	147902795	147914486	1q21.1	1q21.2	600897	"GJA8, CX50, CTRCT1, CZP1, CAE1"	GJA8	2703	"Cataract 1, multiple types, 116200 (3), Autosomal dominant"
chr1	147928420	147993592	1q21.1	1q21.2	612806	"GPR89B, GPHR"	GPR89B	51463	
chr1	148102151	148152281	1q21.1	1q21.2	614001	NBPF11	NBPF11	200030	
chr1	148531385	148596011	1q21.1	1q21.2	614003	NBPF14	NBPF14	25832	
chr1	148600285	148712538	1q21.1	1q21.2	618024	NOTCH2NLB	NOTCH2NLB	100996763	
chr1	148808434	149033016	1q21.1	1q21.2	608117	"PDE4DIP, MMGL, KIAA0454, KIAA0477"	PDE4DIP	9659	
chr1	149052186	149103551	1q21.1	1q21.2	613999	NBPF9	NBPF9	400818	
chr1	149390621	149471833	1q21.1	1q21.2	618025	"NOTCH2NLC, NIID, ETM6, OPDM3"	NOTCH2NLC	100996717	"Tremor, hereditary essential, 6, 618866 (3), Autosomal dominant; Oculopharyngodistal myopathy 3, 619473 (3), Autosomal dominant; Neuronal intranuclear inclusion disease, 603472 (3), Autosomal dominant"
chr1	149475045	149556361	1q21.1	1q21.2	614006	NBPF19	NBPF19	101060226	
chr1	149782694	149800609	1q21.2-q21.3	1q21.2	146760	"FCGR1A, IGFR1, CD64"	FCGR1A	2209	"[IgG receptor I, phagocytic, familial deficiency of] (3)"
chr1	149832657	149833052	1q21	1q21.2	142750	"H4C14, H4FN, H4F2"	H4C14	8370	
chr1	149840687	149841208	1q21	1q21.2	142780	"H3C14, HIST2H3C, H3F2"	H3C14	126961	
chr1	149842218	149842750	1q21	1q21.2	142720	"H2AC18, HIST2H2AA, H2AFO, H2A"	H2AC18	8337	
chr1	149884459	149886682	1q21-q23	1q21.2	601831	"H2BC21, HIST2H2BE, H2B"	H2BC21	8349	
chr1	149886918	149887411	1q21-q23	1q21.2	602797	"H2AC20, HIST2H2AC, H2AFQ"	H2AC20	8338	
chr1	149887469	149887965	1q21	1q21.2	615014	"H2AC21, HIST2H2AB, H2AB"	H2AC21	317772	
chr1	149899568	149900795	1q21.2	1q21.2	613181	BOLA1	BOLA1	51027	
chr1	149903318	149917844	1q21.2	1q21.2	185860	"SV2A, SV2"	SV2A	9900	
chr1	149923317	149927803	1q21.2	1q21.2	605593	"SF3B4, SF3B49, SAP49, AFD1"	SF3B4	10262	"Acrofacial dysostosis 1, Nager type, 154400 (3), Autosomal dominant"
chr1	149937812	150067653	1q21.2	1q21.2	611748	"OTUD7B, CEZANNE"	OTUD7B	56957	
chr1	150067382	150145329	1q21-q22	1q21.2	610035	"VPS45, VPS45A, SCN5"	VPS45	11311	"Neutropenia, severe congenital, 5, autosomal recessive, 615285 (3), Autosomal recessive"
chr1	150149646	150160065	1q21.2	1q21.2	608335	"PLEKHO1, CKIP1"	PLEKHO1	51177	
chr1	150218417	150236112	1q22	1q21.2	609611	"ANP32E, LANPL"	ANP32E	81611	
chr1	150257774	150265078	1q21	1q21.2	604832	CA14	CA14	23632	
chr1	150265404	150269016	1p36.13-q31.3	1q21.2	607629	APH1A	APH1A	51107	
chr1	150282554	150287093	1q21.2	1q21.2	615782	"CIART, CHRONO, GM129"	CIART	148523	
chr1	150293861	150308979	1q21	1q21.2	611984	MRPS21	MRPS21	54460	
chr1	150321468	150353233	1q21.2	1q21.2	607301	"PRPF3, HPRP3, RP18"	PRPF3	9129	"Retinitis pigmentosa 18, 601414 (3), Autosomal dominant"
chr1	150364147	150476566	1q21.3	1q21.2	614695	RPRD2	RPRD2	23248	
chr1	150487419	150507602	1q21.2	1q21.2	612805	"TARS2, COXPD21"	TARS2	80222	"Combined oxidative phosphorylation deficiency 21, 615918 (3), Autosomal recessive"
chr1	150508109	150513789	1q21	1q21.2	602201	"ECM1, URBWD"	ECM1	1893	"Urbach-Wiethe disease, 247100 (3), Autosomal recessive"
chr1	150515757	150518032	1q21.2	1q21.2	616092	"FALEC, FAL1"	FALEC	100874054	
chr1	150549408	150560937	1q21	1q21.2	610113	"ADAMTSL4, TSRC1, ECTOL2"	ADAMTSL4	54507	"Ectopia lentis et pupillae, 225200 (3), Autosomal recessive; Ectopia lentis, isolated, autosomal recessive, 225100 (3), Autosomal recessive"
chr1	150574558	150579610	1q21	1q21.2	159552	MCL1	MCL1	4170	
chr1	150600001	155100000	1q21.3		139450	HRM2		100379199	"Hair, curly, 139450 (2), Autosomal dominant"
chr1	150621246	150629612	1q21.2	1q21.3	603061	ENSA	ENSA	2029	
chr1	150646230	150697154	1q21.2	1q21.3	612208	"GOLPH3L, GPP34R"	GOLPH3L	55204	
chr1	150698060	150720895	1q21.3	1q21.3	609824	"HORMAD1, NOHMA"	HORMAD1	84072	
chr1	150730188	150765778	1q21	1q21.3	116845	CTSS	CTSS	1520	
chr1	150796208	150808260	1q21	1q21.3	601105	CTSK	CTSK	1513	"Pycnodysostosis, 265800 (3), Autosomal recessive"
chr1	150809713	150876599	1q21	1q21.3	126110	ARNT	ARNT	405	
chr1	150926263	150964737	1q21	1q21.3	604396	SETDB1	SETDB1	9869	
chr1	150965186	150974835	1q21.3	1q21.3	606920	"CERS2, LASS2"	CERS2	29956	
chr1	150977306	150995634	1q21	1q21.3	603319	"ANXA9, ANX31"	ANXA9	8416	
chr1	150996536	151008393	1q21.3	1q21.3	618407	"MINDY1, FAM63A"	MINDY1	55793	
chr1	151008449	151035713	1q21.3	1q21.3	617413	"PRUNE1, DRES17, NMIHBA"	PRUNE1	58497	"Neurodevelopmental disorder with microcephaly, hypotonia, and variable brain anomalies, 617481 (3), Autosomal recessive"
chr1	151036586	151047720	1q21.3	1q21.3	611275	"BNIPL, BNIPS, BNIPL1, BNIPL2"	BNIPL	149428	
chr1	151050985	151059622	1q21.3	1q21.3	619456	"CDC42SE1, SPEC1"	CDC42SE1	56882	
chr1	151060397	151069544	1q21	1q21.3	604684	"MLLT11, AF1Q"	MLLT11	10962	
chr1	151131685	151146631	1q21.3	1q21.3	609294	"SEMA6C, KIAA1869"	SEMA6C	10500	
chr1	151156649	151159749	1q21.2-q21.3	1q21.3	612112	"TNFAIP8L2, TIPE2"	TNFAIP8L2	79626	
chr1	151166144	151170296	1q21.3	1q21.3	608095	"SCNM1, MGC3180"	SCNM1	79005	
chr1	151169987	151175981	1q12	1q21.3	605834	TMOD4	TMOD4	29765	
chr1	151176304	151190197	1q21	1q21.3	600607	"VPS72, CFL1, YL1"	VPS72	6944	
chr1	151195419	151249531	1q22-q24	1q21.3	603275	PIP5K1A	PIP5K1A	8394	
chr1	151254734	151267479	1q21.3	1q21.3	601648	"PSMD4, S5A, RPN10"	PSMD4	5710	
chr1	151281522	151292176	1q21.2	1q21.3	610568	"ZNF687, KIAA1441, PDB6"	ZNF687	57592	"Paget disease of bone 6, 616833 (3), Autosomal dominant"
chr1	151291797	151327715	1q21.1-q21.3	1q21.3	602758	PIK4CB	PI4KB	5298	
chr1	151340640	151347252	1q21.1-q21.3	1q21.3	601863	RFX5	RFX5	5993	"Bare lymphocyte syndrome, type II, complementation group C, 209920 (3), Autosomal recessive; Bare lymphocyte syndrome, type II, complementation group E, 209920 (3), Autosomal recessive"
chr1	151364304	151372705	1q21-q22	1q21.3	604188	"SELENBP1, SP56, EHMTO"	SELENBP1	8991	"Extraoral halitosis due to MTO deficiency, 618148 (3), Autosomal recessive"
chr1	151399573	151401937	1q21	1q21.3	602177	"PSMB4, PRAAS3"	PSMB4	5692	"?Proteasome-associated autoinflammatory syndrome 3 and digenic forms, 617591 (3), Autosomal recessive"
chr1	151402724	151459494	1q21.3	1q21.3	614787	"POGZ, KIAA0461, MRD37, WHSUS"	POGZ	23126	"White-Sutton syndrome, 616364 (3), Autosomal dominant"
chr1	151510170	151538692	1q21.3	1q21.3	609473	"CGN, KIAA1319"	CGN	57530	
chr1	151540309	151583583	1q21	1q21.3	600087	TUFT1	TUFT1	7286	
chr1	151612050	151699080	1q21.3	1q21.3	611541	"SNX27, MRT1"	SNX27	81609	
chr1	151700058	151716803	1q21	1q21.3	612678	"CELF3, TNRC4, BRUNOL1"	CELF3	11189	
chr1	151759647	151763496	1q21	1q21.3	611824	MRPL9	MRPL9	65005	
chr1	151762969	151771330	1q21.3	1q21.3	605138	"OAZ3, AZ3"	OAZ3	51686	
chr1	151766486	151790534	1q21.3	1q21.3	609501	TDRKH	TDRKH	11022	
chr1	151800264	151805419	1q21.3	1q21.3	609794	"LINGO4, LRRN6D"	LINGO4	339398	
chr1	151806071	151831802	1q21	1q21.3	602943	"RORC, RORG, RZRG, IMD42"	RORC	6097	"Immunodeficiency 42, 616622 (3), Autosomal recessive"
chr1	151847101	151853712	1q21.3	1q21.3	615653	"THEM5, ACOT15"	THEM5	284486	
chr1	151870866	151909511	1q21	1q21.3	606388	CTMP	THEM4	117145	
chr1	151982915	151993859	1q21	1q21.3	114085	"S100A10, CAL1L"	S100A10	6281	
chr1	152032506	152037004	1q21	1q21.3	603114	S100A11	S100A11	6282	
chr1	152106317	152115444	1q21.3	1q21.3	190370	"TCHH, THH, THL, TRHY, UHS3"	TCHH	7062	"?Uncombable hair syndrome 3, 617252 (3), Autosomal recessive"
chr1	152153595	152159228	1q21	1q21.3	613259	RPTN	RPTN	126638	
chr1	152212076	152224193	1q21.3	1q21.3	616293	HRNR	HRNR	388697	
chr1	152302165	152325239	1q21	1q21.3	135940	"FLG, ATOD2"	FLG	2312	"Ichthyosis vulgaris, 146700 (3), Autosomal dominant, Autosomal recessive; {Dermatitis, atopic, susceptibility to, 2}, 605803 (3)"
chr1	152348735	152360006	1q21.3	1q21.3	616284	"FLG2, IFPS, PSS6"	FLG2	388698	"Peeling skin syndrome 6, 618084 (3), Autosomal recessive"
chr1	152409243	152414263	1q21.3	1q21.3	611312	"CRNN, C1orf10, PDRC1"	CRNN	49860	
chr1	152510803	152512177	1q21	1q21.3	612619	"LCE5A, LEP18"	LCE5A	254910	
chr1	152514482	152516008	1q21.3	1q21.3	617426	"CRCT1, NICE1, C1orf42"	CRCT1	54544	
chr1	152565654	152566780	1q21	1q21.3	612617	"LCE3E, LEP17"	LCE3E	353145	
chr1	152579381	152580516	1q21	1q21.3	612616	"LCE3D, LEP16"	LCE3D	84648	
chr1	152600234	152601086	1q21	1q21.3	612615	"LCE3C, LEP15"	LCE3C	353144	
chr1	152613811	152614098	1q21	1q21.3	612614	"LCE3B, LEP14"	LCE3B	353143	
chr1	152622834	152623103	1q21	1q21.3	612613	"LCE3A, LEP13"	LCE3A	353142	
chr1	152663380	152664659	1q21	1q21.3	612612	"LCE2D, LEP12"	LCE2D	353141	
chr1	152675279	152676569	1q21	1q21.3	612611	"LCE2C, LEP11"	LCE2C	353140	
chr1	152686123	152687397	1q21	1q21.3	612610	"LCE2B, LEP10, XP5"	LCE2B	26239	
chr1	152698345	152699442	1q21	1q21.3	612609	"LCE2A, LEP9"	LCE2A	353139	
chr1	152708160	152709434	1q21	1q21.3	612618	"LCE4A, LEP8"	LCE4A	199834	
chr1	152758025	152762056	1q21	1q21.3	613260	KPRP	KPRP	448834	
chr1	152775140	152777024	1q21	1q21.3	612608	"LCE1F, LEP6"	LCE1F	353137	
chr1	152786257	152788426	1q21	1q21.3	612607	LCE1E	LCE1E	353135	
chr1	152796721	152798181	1q21	1q21.3	612606	"LCE1D, LEP4"	LCE1D	353134	
chr1	152804832	152806651	1q21	1q21.3	612605	"LCE1C, LEP3"	LCE1C	353133	
chr1	152811971	152813108	1q21	1q21.3	612604	"LCE1B, LEP2"	LCE1B	353132	
chr1	152827473	152828097	1q21	1q21.3	612603	"LCE1A, LEP1"	LCE1A	353131	
chr1	152878322	152885047	1q21	1q21.3	601148	"SMCP, MCSP, MCS"	SMCP	4184	
chr1	152908546	152911886	1q21	1q21.3	147360	IVL	IVL	3713	
chr1	152968750	152972574	1q21	1q21.3	616363	SPRR4	SPRR4	163778	
chr1	152984081	152985814	1q21-q22	1q21.3	182265	SPRR1A	SPRR1A	6698	
chr1	153001749	153003856	1q21-q22	1q21.3	182271	SPRR3	SPRR3	6707	
chr1	153031203	153032900	1q21-q22	1q21.3	182266	SPRR1B	SPRR1B	6699	
chr1	153039732	153041120	1q21.3	1q21.3	617587	SPRR2D	SPRR2D	6703	
chr1	153056120	153057512	1q21-q22	1q21.3	182267	SPRR2A	SPRR2A	6700	
chr1	153070226	153087799	1q21-q22	1q21.3	182268	SPRR2B	SPRR2B	6701	
chr1	153093135	153094526	1q21.3	1q21.3	617588	SPRR2E	SPRR2E	6704	
chr1	153112121	153119468	1q21.3	1q21.3	617589	SPRR2F	SPRR2F	6705	
chr1	153149582	153203278	1q21.3	1q21.3	617590	SPRR2G	SPRR2G	6706	
chr1	153203430	153205120	1q21	1q21.3	611042	LELP1	LELP1	149018	
chr1	153259687	153262124	1q21	1q21.3	152445	LOR	LORICRIN	4014	"Vohwinkel syndrome with ichthyosis, 604117 (3), Autosomal dominant"
chr1	153297116	153312952	1q21	1q21.3	608197	PGRPIA	PGLYRP3	114771	
chr1	153330120	153348841	1q21	1q21.3	608198	PGRPIB	PGLYRP4	57115	
chr1	153357854	153361023	1q12-q22	1q21.3	123886	"S100A9, CAGB, CFAG"	S100A9	6280	
chr1	153373711	153375621	1q21	1q21.3	603112	"S100A12, CAAF1, CGRP"	S100A12	6283	
chr1	153390032	153422583	1q21	1q21.3	123885	"S100A8, CAGA, CFAG"	S100A8	6279	
chr1	153416520	153423222	1q21.3	1q21.3	617427	"S100A7A, S100A15, NICE2"	S100A7A	338324	
chr1	153457744	153460651	1q21	1q21.3	600353	S100A7	S100A7	6278	
chr1	153534599	153535991	1q21	1q21.3	114110	"S100A6, CACY"	S100A6	6277	
chr1	153537147	153543685	1q21	1q21.3	176991	"S100A5, S100D"	S100A5	6276	
chr1	153543621	153545806	1q21	1q21.3	114210	"S100A4, CAPL"	S100A4	6275	
chr1	153547329	153549258	1q21	1q21.3	176992	"S100A3, S100E"	S100A3	6274	
chr1	153561108	153565844	1q21	1q21.3	176993	"S100A2, S100L"	S100A2	6273	
chr1	153606883	153613137	1p21.3	1q21.3	617437	"S100A16, AAG13"	S100A16	140576	
chr1	153614255	153616325	1q21	1q21.3	607986	"S100A14, BCMP84"	S100A14	57402	
chr1	153618799	153634361	1q21	1q21.3	601989	S100A13	S100A13	6284	
chr1	153628434	153632039	1q21	1q21.3	176940	S100A1	S100A1	6271	
chr1	153634066	153646306	1q21.3	1q21.3	614206	"CHTOP, C10orf77, SRAG, FOP"	CHTOP	26097	
chr1	153658654	153661852	1q22	1q21.3	607007	"SNAPIN, SNAPAP, BLOC1S7, BLOS7"	SNAPIN	23557	
chr1	153661788	153670993	1q21.3	1q21.3	603181	"ILF2, NF45"	ILF2	3608	
chr1	153678688	153693992	1q21-q22	1q21.3	108960	"NPR1, ANPRA"	NPR1	4881	
chr1	153728050	153774808	1q21.3	1q21.3	611347	"INTS3, INT3, SOSSA"	INTS3	65123	
chr1	153775407	153780157	1q21.3	1q21.3	604193	"SLC27A3, FATP3"	SLC27A3	11000	
chr1	153804725	153922972	1q23.1	1q21.3	614998	"GATAD2B, KIAA1150, p68, GANDS"	GATAD2B	57459	"GAND syndrome, 615074 (3), Autosomal dominant"
chr1	153929501	153946894	1q21.3	1q21.3	619843	DENND4B	DENND4B	9909	
chr1	153947675	153958612	1q21.3	1q21.3	608972	"CRTC2, TORC2"	CRTC2	200186	
chr1	153959110	153968184	1q21	1q21.3	604740	"SLC39A1, ZIRTL"	SLC39A1	27173	
chr1	153967487	153974359	1q21.3	1q21.3	607138	"CREB3L4, CREB4, AIBZIP"	CREB3L4	148327	
chr1	153974269	153977674	1q21	1q21.3	604671	"JTB, PAR"	JTB	10899	
chr1	153981650	153990708	1q21.3	1q21.3	602672	RAB13	RAB13	5872	
chr1	153990762	153992155	1q21	1q21.3	603702	"RPS27, MPS1, DBA17"	RPS27	6232	"?Diamond-Blackfan anemia 17, 617409 (3), Autosomal dominant"
chr1	154155308	154192100	1q22-q23	1q21.3	191030	"TPM3, NEM1, CFTD, CAPM1"	TPM3	7170	"CAP myopathy 1, 609284 (3), Autosomal dominant, Autosomal recessive; Myopathy, congenital, with fiber-type disproportion, 255310 (3), Autosomal dominant, Autosomal recessive; Nemaline myopathy 1, autosomal dominant or recessive, 609284 (3), Autosomal dominant, Autosomal recessive"
chr1	154206720	154220590	1q21.3	1q21.3	617428	"C1orf43, NS5ATP4, NICE3"	C1orf43	25912	
chr1	154220172	154271510	1q21.3	1q21.3	616472	"UBAP2L, NICE4"	UBAP2L	9898	
chr1	154272629	154275875	1q21.3	1q21.3	605998	"HAX1, SCN3"	HAX1	10456	"Neutropenia, severe congenital 3, autosomal recessive, 610738 (3), Autosomal recessive"
chr1	154321093	154325325	1q21.3	1q21.3	606578	AQP10	AQP10	89872	
chr1	154325525	154351304	1q21.3	1q21.3	605867	"ATP8B2, ATPID"	ATP8B2	57198	
chr1	154405343	154469450	1q21.3	1q21.3	147880	"IL6R, IL6RQ, IL6QTL, HIES5"	IL6R	3570	"[Interleukin 6, serum level of, QTL], 614752 (3); Hyper-IgE recurrent infection syndrome 5, autosomal recessive, 618944 (3), Autosomal recessive; [Interleukin-6 receptor, soluble, serum level of, QTL], 614689 (3)"
chr1	154469637	154502412	1q21.3	1q21.3	610482	SHE	SHE	126669	
chr1	154548577	154558662	1q21.3	1q21.3	617429	"UBE2Q1, GTAP, NICE5"	UBE2Q1	55585	
chr1	154567778	154580013	1q21	1q21.3	118507	"CHRNB2, EFNL3"	CHRNB2	1141	"Epilepsy, nocturnal frontal lobe, 3, 605375 (3)"
chr1	154582057	154627997	1q21.3	1q21.3	146920	"ADAR, DRADA, DSH, DSRAD, IFI4, G1P1, AGS6"	ADAR	103	"Dyschromatosis symmetrica hereditaria, 127400 (3), Autosomal dominant; Aicardi-Goutieres syndrome 6, 615010 (3), Autosomal recessive"
chr1	154697455	154870281	1q21.3	1q21.3	602983	"KCNN3, SK3, SKCA3, ZLS3"	KCNN3	3782	"Zimmermann-Laband syndrome 3, 618658 (3), Autosomal dominant"
chr1	154924740	154942658	1q21.3	1q21.3	607622	"PMVK, PMK, POROK1"	PMVK	10654	"Porokeratosis 1, multiple types, 175800 (3), Autosomal dominant"
chr1	154944080	154956099	1q21.3	1q21.3	618819	"PBXIP1, HPIP"	PBXIP1	57326	
chr1	154957026	154961782	1q21.3	1q21.3	606903	PYGO2	PYGO2	90780	
chr1	154962298	154974376	1q21	1q21.3	600560	SHC1	SHC1	6464	
chr1	154974681	154979251	1q21.3	1q21.3	116900	"CKS1B, CKS1"	CKS1B	1163	
chr1	154983344	154993111	1q21.3	1q21.3	610595	"FLAD1, FADS, LSMFLAD"	FLAD1	80308	"Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency, 255100 (3), Autosomal recessive"
chr1	154993586	154994321	1q22	1q21.3	607377	"LENEP, LEP503"	LENEP	55891	
chr1	155001750	155018523	1q21.3	1q21.3	607646	"ZBTB7B, ZFP67, CKROX, THPOK"	ZBTB7B	51043	
chr1	155018527	155033781	1q21.3	1q21.3	619861	"DCST2, SPE42"	DCST2	127579	
chr1	155033806	155050930	1q21.3	1q21.3	619860	"DCST1, SNKY, SPE49"	DCST1	149095	
chr1	155051316	155062775	1q21.3	1q21.3	605548	"ADAM15, MDC15"	ADAM15	8751	
chr1	155063740	155069553	1q21-q22	1q21.3	601380	"EFNA4, EPLG4"	EFNA4	1945	
chr1	155078837	155087538	1q21-q22	1q21.3	601381	"EFNA3, EPLG3"	EFNA3	1944	
chr1	155127876	155134899	1q21-q22	1q22	191164	"EFNA1, EPLG1, TNFAIP4"	EFNA1	1942	
chr1	155135375	155138853	1q22	1q22	613683	"SLC50A1, RAG1AP1"	SLC50A1	55974	
chr1	155139891	155140531	1q12-q21	1q22	605951	"DPM3, MDDGC15, MDDGB15"	DPM3	54344	"?Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 15, 618992 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 15, 612937 (3), Autosomal recessive"
chr1	155169408	155173304	1q22	1q22	619029	"KRTCAP2, KCP2"	KRTCAP2	200185	
chr1	155173849	155184971	1q21	1q22	600986	GENEY	TRIM46	80128	
chr1	155185824	155192915	1q21	1q22	158340	"MUC1, PUM, ADTKD2"	MUC1	4582	"Tubulointerstitial kidney disease, autosomal dominant, 2, 174000 (3), Autosomal dominant"
chr1	155195588	155209178	1q21	1q22	188062	"THBS3, TSP3"	THBS3	7059	
chr1	155208695	155213839	1q21	1q22	600605	"MTX1, MTXN"	MTX1	4580	
chr1	155234452	155244627	1q21	1q22	606463	GBA	GBA1	2629	"{Lewy body dementia, susceptibility to}, 127750 (3), Autosomal dominant; Gaucher disease, type II, 230900 (3), Autosomal recessive; Gaucher disease, type IIIC, 231005 (3), Autosomal recessive; Gaucher disease, type III, 231000 (3), Autosomal recessive; Gaucher disease, type I, 230800 (3), Autosomal recessive; Gaucher disease, perinatal lethal, 608013 (3), Autosomal recessive; {Parkinson disease, late-onset, susceptibility to}, 168600 (3), Multifactorial, Autosomal dominant"
chr1	155247205	155255483	1q22	1q22	619447	"FAM189B, COTE1"	ENTREP3	10712	
chr1	155255981	155262360	1q21	1q22	606913	"SCAMP3, PROPIN1"	SCAMP3	10067	
chr1	155262868	155273504	1p31	1q22	602989	CLK2	CLK2	1196	
chr1	155277463	155289848	1q22	1q22	609973	"HCN3, KIAA1535"	HCN3	57657	
chr1	155289293	155308654	1q21	1q22	609712	"PKLR, PK1"	PKLR	5313	"Adenosine triphosphate, elevated, of erythrocytes, 102900 (3), Autosomal dominant; Pyruvate kinase deficiency, 266200 (3), Autosomal recessive"
chr1	155308866	155320665	1q22	1q22	134629	"FDPS, FPS, POROK9"	FDPS	2224	"Porokeratosis 9, multiple types, 616631 (3), Autosomal dominant"
chr1	155320894	155331118	1q22	1q22	617318	"RUSC1, NESCA"	RUSC1	23623	
chr1	155335268	155563202	1q22	1q22	607999	"ASH1L, KIAA1420, ASH1, MRD52"	ASH1L	55870	"Intellectual developmental disorder, autosomal dominant 52, 617796 (3), Autosomal dominant"
chr1	155563246	155614967	1q22	1q22	617619	"MSTO1, MMYAT"	MSTO1	55154	"Myopathy, mitochondrial, and ataxia, 617675 (3), Autosomal dominant, Autosomal recessive"
chr1	155659442	155688996	1q22	1q22	607860	"YY1AP1, YAP, HCCA2, GRNG"	YY1AP1	55249	"Grange syndrome, 602531 (3), Autosomal recessive"
chr1	155687948	155739010	1q21	1q22	602074	DAP3	DAP3	7818	
chr1	155745112	155859431	1q22	1q22	610393	"GON4L, KIAA1606"	GON4L	54856	
chr1	155859567	155885199	1q22	1q22	608741	"SYT11, KIAA0080"	SYT11	23208	
chr1	155897808	155911349	1q22	1q22	609591	"RIT1, RIT, ROC1, NS8"	RIT1	6016	"Noonan syndrome 8, 615355 (3), Autosomal dominant"
chr1	155913045	155934413	1q22	1q22	619370	"KHDC4, KIAA0907, BLOM7"	KHDC4	22889	
chr1	155941638	155943087	1q22	1q22	609043	"RXFP4, RLN3R2, GPR100, GPCR142"	RXFP4	339403	
chr1	155946854	155979617	1q21-q22	1q22	607560	"ARHGEF2, GEFH1, KIAA0651, NEDMHM"	ARHGEF2	9181	"?Neurodevelopmental disorder with midbrain and hindbrain malformations, 617523 (3), Autosomal recessive"
chr1	156009048	156020951	1q21-q23	1q22	600867	SSR2	SSR2	6746	
